@RELATION MetaCritic

@ATTRIBUTE year	INTEGER
@ATTRIBUTE rating	{EC,E,E10,T,M,AO,RP}
@ATTRIBUTE genre	{Action,ActionAdventure,Adventure,Driving,Fighting,MMO,Platformer,Party,Puzzle,RPG,Shooter,Sports,Simulation,Strategy,Misc}
@ATTRIBUTE score	REAL
@ATTRIBUTE userScore	REAL
@ATTRIBUTE class	{PC,Console}

@DATA
2009,T,ActionAdventure,0.46,4.6,PC
2009,E,Sports,0.45,1.3,PC
2009,M,Fighting,0.44,5.3,PC
2009,E,Strategy,0.43,4.1,PC
2009,M,Strategy,0.42,4.2,PC
2009,M,Shooter,0.41,4.5,PC
2009,T,Shooter,0.4,5.6,PC
2009,M,?,0.4,5.3,PC
2009,T,Shooter,0.39,3.2,PC
2009,M,?,0.38,4.2,PC
2009,T,Adventure,0.36,2.9,PC
2009,?,?,0.35,4.7,PC
2009,?,?,0.3,4.9,PC
2009,M,Shooter,0.29,3.2,PC
2009,?,?,0.25,3.7,PC
2009,M,Adventure,0.2,2.4,PC
2008,?,Strategy,0.92,8,PC
2008,T,MMO,0.91,6.6,PC
2008,M,RPG,0.91,7.8,PC
2008,?,Puzzle,0.9,8.8,PC
2008,M,ActionAdventure,0.9,5.1,PC
2008,M,Shooter,0.89,9.4,PC
2008,M,RPG,0.89,8.5,PC
2008,E,Driving,0.87,7.6,PC
2008,T,Strategy,0.87,8.2,PC
2008,M,RPG,0.86,8.5,PC
2008,T,MMO,0.86,8,PC
2008,M,Shooter,0.86,7.8,PC
2008,M,Platformer,0.86,7.2,PC
2008,T,Adventure,0.85,8.7,PC
2008,T,MMO,0.85,8.8,PC
2008,T,Adventure,0.85,0,PC
2008,M,Shooter,0.85,5.6,PC
2008,?,Party,0.85,9.2,PC
2008,E10,Strategy,0.84,4.6,PC
2008,M,Shooter,0.84,8,PC
2008,E,Sports,0.83,8.3,PC
2008,M,Shooter,0.83,7.1,PC
2008,E,Strategy,0.83,8.4,PC
2008,E,Driving,0.83,9.1,PC
2008,E10,?,0.83,6.1,PC
2008,T,Strategy,0.82,6.7,PC
2008,E10,?,0.82,5.8,PC
2008,T,ActionAdventure,0.82,6.8,PC
2008,E,Sports,0.82,7.5,PC
2008,E,?,0.81,0,PC
2008,E10,?,0.81,0,PC
2008,E10,?,0.81,8.3,PC
2008,?,?,0.81,6.6,PC
2008,E10,?,0.81,9.2,PC
2008,M,MMO,0.8,7.2,PC
2008,T,Adventure,0.8,0,PC
2008,E,Driving,0.8,5.8,PC
2008,T,ActionAdventure,0.8,7.3,PC
2008,M,Adventure,0.8,7.6,PC
2008,E10,ActionAdventure,0.8,7.7,PC
2008,E,Sports,0.8,9.3,PC
2008,M,Shooter,0.79,7.7,PC
2008,E10,Strategy,0.79,9.4,PC
2008,E,Sports,0.79,7.5,PC
2008,M,ActionAdventure,0.79,7.9,PC
2008,E10,?,0.79,0,PC
2008,T,Adventure,0.79,8.8,PC
2008,T,Driving,0.79,7,PC
2008,T,Strategy,0.79,9.4,PC
2008,E10,Adventure,0.78,7.6,PC
2008,M,Shooter,0.78,7.4,PC
2008,M,Fighting,0.78,8.9,PC
2008,M,ActionAdventure,0.78,8.9,PC
2008,E,?,0.78,7.6,PC
2008,T,MMO,0.78,9.7,PC
2008,E,?,0.77,7.3,PC
2008,T,Strategy,0.77,7.8,PC
2008,M,Adventure,0.77,8.5,PC
2008,T,MMO,0.76,7.8,PC
2008,E,?,0.76,9.2,PC
2008,?,Strategy,0.76,9.3,PC
2008,M,Shooter,0.75,7.4,PC
2008,T,Misc,0.75,8,PC
2008,T,Shooter,0.75,8.8,PC
2008,T,MMO,0.74,5.7,PC
2008,?,Puzzle,0.74,0,PC
2008,T,Misc,0.74,7.8,PC
2008,E10,Strategy,0.73,5.4,PC
2008,T,Adventure,0.73,7.3,PC
2008,T,Misc,0.73,8,PC
2008,E10,Strategy,0.73,7.5,PC
2008,T,Shooter,0.73,7.1,PC
2008,E,Puzzle,0.73,0,PC
2008,M,Strategy,0.73,8,PC
2008,T,?,0.73,7.8,PC
2008,T,ActionAdventure,0.72,6.1,PC
2008,T,RPG,0.72,9,PC
2008,E,?,0.72,8.3,PC
2008,E,?,0.72,0,PC
2008,E,Simulation,0.72,7.5,PC
2008,T,ActionAdventure,0.71,7.1,PC
2008,E10,Adventure,0.71,8,PC
2008,T,?,0.71,5.5,PC
2008,M,RPG,0.71,6.9,PC
